"","V1","V2","V3","V4"
"1",1,0.1,0.38220334462079,0.3818671080333
"2",5,0.1,0.370553695167828,0.370201110970297
"3",15,0.1,0.358036999218135,0.35769128864703
"4",20,0.1,0.354808238786853,0.354470009639062
"5",30,0.1,0.35065217940141,0.350327289266709
"6",1,0.2,0.382398627118564,0.382064188270981
"7",5,0.2,0.37090472875648,0.370556081329355
"8",15,0.2,0.358165221473529,0.357823535034081
"9",20,0.2,0.354849094448948,0.354516605863207
"10",30,0.2,0.350579237252947,0.350264811816077
"11",1,0.3,0.382598866089033,0.382266213100225
"12",5,0.3,0.371290027805833,0.370945328395968
"13",15,0.3,0.358341523189995,0.358007195656198
"14",20,0.3,0.35494512408409,0.354622627439133
"15",30,0.3,0.350551485991981,0.350249516913141
